Designator,Mid X,Mid Y,Rotation,Layer
D1,48.0,-96.0,0.0,top
D2,40.132,-109.9312,180.0,top
D3,113.665,-83.3,180.0,top
D4,113.665,-108.7,180.0,top
IC1,83.74,-95.9625,90.0,top
J1,32.532,-93.25,270.0,top
J10,181.505714,-96.0,180.0,top
J11,167.73,-96.0,180.0,top
J12,145.7452,-95.9104,0.0,top
J13,158.3944,-95.8596,0.0,top
J14,273.9136,-96.0,0.0,top
J15,51.0149,-104.9057,0.0,top
J2,136.371,-96.0,180.0,top
J3,122.555,-96.0,180.0,top
J4,264.16,-96.0,180.0,top
J5,250.384286,-96.0,180.0,top
J6,236.608571,-96.0,180.0,top
J7,222.832857,-96.0,180.0,top
J8,209.057143,-96.0,180.0,top
J9,195.281429,-96.0,180.0,top
R1,54.8132,-94.0308,270.0,top
R2,115.443,-95.631,90.0,top
R3,112.014,-95.631,270.0,top
S1,37.0875,-101.883,180.0,top
