Designator,Mid X,Mid Y,Rotation,Layer
D1,248.0,-83.0,180.0,top
D2,68.58,-108.204,180.0,top
D3,48.0,-82.5,180.0,top
D4,64.0,-82.5,180.0,top
D5,46.736,-94.488,90.0,bottom
H1,30.3,-83.3,0.0,top
H2,273.7,-83.3,0.0,top
H3,30.3,-108.7,0.0,top
H4,273.7,-108.7,0.0,top
IC1,105.283,-95.9625,90.0,top
J1,54.25,-89.302,180.0,top
J13,270.891,-96.012,0.0,top
J2,148.463,-89.0445,270.0,bottom
J3,181.991,-89.0445,270.0,bottom
J4,215.519,-89.0445,270.0,bottom
J5,249.047,-89.0445,270.0,bottom
JP1,50.165,-105.156,0.0,top
R1,232.664,-83.058,0.0,top
R2,49.53,-108.204,180.0,top
R3,64.897,-90.043,90.0,top
S1,72.0,-96.2375,90.0,top
TP3,56.896,-104.267,0.0,top
TP4,270.891,-89.789,180.0,top
TP5,270.891,-102.362,180.0,top
