Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C15, C16, C17, C18, C2, C21, C22, C26, C27, C3, C4, C5, C6",0603,16,100n,C14663
C10,0603,1,22p,C1653
C11,0603,1,47p,C1671
C20,0603,1,33p,C1663
"C23, C24",CP_Elec_6.3x7.7,2,100u,C2836437
C28,0603,1,1u,C15849
C29,C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,470n,
C8,0603,1,100p,C14858
C9,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,2.2nF (foil),
"D1, D2, D3",D_SOD-123,3,1N4148,C81598
"D6, D7",D_SOD-323,2,1N5817,C5190152
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J2,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J3,IDC-Header_2x05_P2.54mm_Horizontal,1,Conn_02x05_Odd_Even,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J6,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Counter_Clockwise,
J8,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
Q1,SOT-363_SC-70-6,1,BC847BS,C5380687
Q2,SOT-23_Handsoldering,1,MMBT3906,C7420354
Q3,TO-92_Inline_Wide,1,J111,
Q4,SOT-23,1,MMBFJ111,C274688
"Q5, Q7",SOT-23,2,MMBT5551,C2145
Q6,SOT-23,1,BC847,C8664
"R1, R15, R18, R21, R25, R27, R28, R29, R30, R37, R38, R40, R41, R43, R5, R57",0603,16,100k,C25803
"R10, R13, R4",0603,3,1M,C22935
"R11, R9",0603,2,1.5k,C22843
R12,0603,1,510,C23193
"R14, R47",0603,2,10k,C25804
R16,0603,1,22k,C31850
"R17, R2",0603,2,150k,C22807
R19,0603,1,330k,C23137
"R20, R33",0603,2,2.2k,C4190
"R22, R32, R45, R46",0603,4,47k,C25819
"R23, R24",0603,2,15k,C22809
R26,0603,1,27k,C22967
"R3, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,See t.comp. table,
"R31, R34, R44, R56",0603,4,220k,C22961
R35,0603,1,2.2M,C22938
"R36, R39",0603,2,240k,C4197
R42,0603,1,680,C23228
R48,0603,1,56k,C23206
"R50, R52, R53, R54, R55",0603,5,1k,C21190
RV_SAW_BIAS1,Potentiometer_Bourns_3006P_Horizontal,1,10k (prec),
"RV_TRI_BIAS1, R_BIAS1",Potentiometer_Bourns_3006P_Horizontal,2,100k (prec),
R_HIFREQ1,Potentiometer_Bourns_3006P_Horizontal,1,2k (prec),
"R_WIDTH1, R_WIDTH2",Potentiometer_Bourns_3006P_Horizontal,2,See t.comp. table,
TH1,TO-92-2,1,See t.comp. table,
TH2,1206,1,PTS120602B100RP100,
"U1, U2, U4, U5, U6, U7, U8",SOIC-8_3.9x4.9mm_P1.27mm,7,TL072,C6961
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LM311,C12597
U9,SOIC-16_3.9x9.9mm_P1.27mm,1,CD4040BM96,C353974
