Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,100n,
C248,C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,1u (foil or electrolite),
J1,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
J2,PinSocket_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J3,PinSocket_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,PinSocket_2x02_P2.54mm_Vertical,1,Conn_02x02_Counter_Clockwise,
J6,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07,
JP1,PinHeader_1x03_P2.54mm_Horizontal,1,Jumper_3_Open,
"J_CV1, J_EXTRA_OUT1, J_FM1, J_GLIDED_PITCH_OUT1, J_OUT1, J_SYNC1",Jack_3.5mm_PJ301xPJ342,6,PJ398SM,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,130k,
"R2, R3, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,100k,
"R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,510k,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
"RV_FINE1, RV_GLIDE1, RV_TUNE1",Potentiometer_Bourns_Single-PTV09A,3,100k,
U1,SR1712-0203,1,0203,
U2,DIP-8_W7.62mm_LongPads,1,TL072,
