"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Part no.","Part URL","Vendor","Note"
"J1","1","Conn_01x04","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","200-SSW10401TMS","https://mou.sr/4kxE3Vr","Mouser",""
"J2","1","Conn_02x05_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical","~","200-SSW10501TD","https://mou.sr/4lVCZM9","Mouser",""
"J3","1","Conn_02x03_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","~","200-SSW10301TD","https://mou.sr/3GIDVEr","Mouser",""
"J4","1","Conn_01x02","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","200-SSW10201TS","https://mou.sr/4lBvdHe","Mouser",""
"J5","1","Conn_02x02_Counter_Clockwise","","","","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical","~","200-SSW10206TD","https://mou.sr/4eSbYqI","Mouser",""
"J6","1","Conn_01x07","","","","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","~","200-SSW10601TS","https://mou.sr/4lnf48h","Mouser",""
"JP1","1","Jumper_3_Open","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~","200-HTSW10308TSRA","https://mou.sr/451l2py","Mouser",""
"JP2,JP3","2","Jumper_2_Open","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~","200-HTSW10208TSRA","https://mou.sr/4nM6IZz","Mouser",""
"J_CV1,J_EXTRA_OUT1,J_FM1,J_OUT1,J_PWM1,J_SYNC1","6","PJ398SM","","","","Shmoergh_Custom_Footprints:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","Thonk",""
"R1","1","130k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FBF52-130K ","https://mou.sr/3XNtowV","Mouser",""
"R2,R3,R6","3","100k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FRF52100K","https://mou.sr/4hEwI4G","Mouser",""
"R4,R5","2","510k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FBF52-510K ","https://mou.sr/44Vd3Kk","Mouser",""
"R7,R8","2","220k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FRF52-220K","https://mou.sr/46cEvF7","Mouser",""
"RV_FINE1,RV_PWM1,RV_TUNE1","3","100k","","","","Shmoergh_Custom_Footprints:Potentiometer_Bourns_Single-PTV09A","~","652-PTV09A4025UB104","https://mou.sr/41lYe2k","Mouser","Knurled Shaft"
"U1","1","0203","","","","Shmoergh_Custom_Footprints:SR1712-0203","https://hu.mouser.com/datasheet/2/13/SR1712F-1815245.pdf","105-SR1712F-23NS","https://mou.sr/3U6bGTk","Mouser",""
