Designator,Mid X,Mid Y,Rotation,Layer
C1,150.9025,-92.004,0.0,top
C10,132.15,-130.015302,0.0,top
C11,140.256,-100.388,0.0,top
C12,148.043,-110.675,0.0,top
C13,134.541,-107.627,180.0,top
C14,139.77,-130.015302,180.0,top
C15,148.384,-130.106,270.0,top
C16,152.321,-106.23,0.0,top
C17,152.194,-123.502,270.0,top
C18,163.41,-133.662,180.0,top
C19,159.306,-143.1,90.0,top
C2,145.463,-98.991,0.0,top
C20,131.747,-138.869,0.0,top
C21,154.734,-134.74166,0.0,top
C22,173.403,-104.96,180.0,top
C3,159.097,-94.9505,90.0,top
C4,165.828,-102.9515,90.0,top
C5,175.328,-143.0,270.0,top
C6,168.196,-135.694,270.0,top
C7,161.637,-103.5865,0.0,top
C8,145.85,-133.391,0.0,top
C9,139.24,-140.393,0.0,top
D1,141.82,-118.164424,270.0,top
D10,132.168,-123.461585,270.0,top
D11,159.018,-128.328,180.0,top
D12,159.052,-111.818,0.0,top
D2,139.407,-118.164424,270.0,top
D3,136.994,-118.164424,270.0,top
D4,134.581,-118.164424,270.0,top
D5,132.168,-118.164424,270.0,top
D6,141.82,-123.461585,270.0,top
D7,139.407,-123.460585,270.0,top
D8,136.994,-123.461585,270.0,top
D9,134.581,-123.461585,270.0,top
J2,130.19,-99.27,270.0,top
J3,150.77,-149.77,0.0,top
J6,171.27,-96.54,0.0,top
J7,179.499,-134.683,180.0,top
J8,158.9425,-120.073,0.0,top
Q1,151.813,-115.882,180.0,top
R1,137.589,-90.99,180.0,top
R10,164.177,-93.4265,90.0,top
R11,141.145,-96.705,0.0,top
R12,162.526,-93.4265,90.0,top
R13,148.511,-107.881,180.0,top
R14,160.875,-93.4265,90.0,top
R15,153.337,-94.673,270.0,top
R16,145.717,-130.972,180.0,top
R17,153.083,-103.69,270.0,top
R18,151.432,-103.69,90.0,top
R19,152.448,-97.213,180.0,top
R20,151.051,-129.344,180.0,top
R21,145.717,-129.344,180.0,top
R22,141.526,-105.849,180.0,top
R23,137.4385,-135.44,180.0,top
R24,170.375,-133.221,90.0,top
R25,172.026,-133.221,90.0,top
R26,173.677,-133.221,270.0,top
R27,137.4385,-138.488,180.0,top
R28,137.4385,-136.964,0.0,top
R29,170.248,-144.524,270.0,top
R30,148.993,-145.727,180.0,top
R31,171.899,-144.524,270.0,top
R32,173.55,-144.524,90.0,top
R4,151.686,-94.673,270.0,top
R6,136.192,-93.149,180.0,top
R7,161.637,-105.2375,0.0,top
R8,141.907,-94.165,270.0,top
R9,140.256,-94.165,90.0,top
RV_BALANCE1,146.987,-104.559,90.0,top
RV_MAX_RESO1,159.393,-150.192,90.0,top
U1,143.05,-137.091,270.0,top
U2,162.436,-98.946,0.0,top
U3,146.86,-95.416,270.0,top
U4,171.879,-138.869,180.0,top
