"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Part no.","Part URL","Vendor","Note"
"C1,C2","2","100n","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","594-K104K15X7RF53L2","https://mou.sr/4adMnbf","Mouser",""
"J1","1","Conn_02x03_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","~","200-SSW10301TD","https://mou.sr/3GIDVEr","Mouser",""
"J2","1","Conn_02x02_Counter_Clockwise","","","","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical","~","200-SSW10206TD","https://mou.sr/4eSbYqI","Mouser",""
"J4","1","Conn_01x02","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","200-SSW10201TS","https://mou.sr/4lBvdHe","Mouser",""
"J5","1","Conn_01x06","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","200-SSW10601TS","https://mou.sr/4lnf48h","Mouser",""
"J6","1","Conn_02x04_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical","~","200-SSW10401TD","https://mou.sr/4qqxl75","Mouser",""
"J_CUTOFF1,J_CUTOFF2,J_HP1,J_LP1,J_OUT1","5","PJ398SM","","","","Shmoergh_Custom_Footprints:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","Thonk",""
"R1","1","6.8k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FRF52100K","https://mou.sr/4hEwI4G","Mouser",""
"R2","1","3.3k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FRF52100K","https://mou.sr/4hEwI4G","Mouser",""
"R3","1","220k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FRF52100K","https://mou.sr/4hEwI4G","Mouser",""
"R4,R5,R10,R11","4","10k-1M","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FRF52100K","https://mou.sr/4hEwI4G","Mouser",""
"R6,R7,R8,R9,R12,R13,R14","7","100k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FRF52100K","https://mou.sr/4hEwI4G","Mouser",""
"RV_CUTOFF1,RV_CUTOFF2,RV_MAIN_CUTOFF1,RV_RESO1","4","100k","","","","Shmoergh_Custom_Footprints:Potentiometer_Bourns_Single-PTV09A","~","652-PTV09A4025UB104","https://mou.sr/41lYe2k","Mouser","Knurled Shaft"
"RV_CUTOFF_BIAS1","1","10k","","","","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","~","774-06TR4AA103CP","https://mou.sr/44pTlq5","Mouser",""
"U1","1","TL072","","","","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/tl071.pdf","595-TL072CP","https://mou.sr/48zN39J","Mouser",""
