Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6",0603,4,100n,C14663
"C10, C9",CP_Elec_6.3x7.7,2,100u,C2836442
C3,0603,1,10n,C57112
C4,CP_Elec_5x5.4,1,10u,C30110
"C7, C8",0603,2,47p,C1671
"D1, D2, D3",D_SOD-123,3,1N4148,C81598
"D4, D5",D_SOD-323,2,1N5817,C5190152
"J2, J3, J5, J8",PinHeader_2x03_P2.54mm_Vertical,4,Conn_02x03_Odd_Even,
J4,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J7,IDC-Header_2x05_P2.54mm_Horizontal,1,Conn_02x05_Odd_Even,
Q1,SOT-23,1,BC857,C20069137
Q3,SOT-363_SC-70-6,1,BC847BS,C5380687
R1,0603,1,22k,C31850
"R10, R12, R23, R25, R26",0603,5,10k,C25804
R11,0603,1,4.7k,C23162
R13,0603,1,15k,C22809
"R14, R3",0603,2,47k,C25819
"R17, R2, R4, R9",0603,4,1k,C21190
"R18, R22, R24, R8",0603,4,100k,C25803
R20,0603,1,220,C22962
R21,0603,1,33k,C4216
"R27, R28",0603,2,470k,C23178
R29,0603,1,200k,C25811
"R5, R6, R7",0603,3,1M,C22935
RV_COMP1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,10k,
"RV_OUT_GAIN1, RV_VCA_BIAS1","Potentiometer_ACP_CA6-H2,5_Horizontal",2,100k,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,LM324,C71035
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TL072,C6961
