"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Part no.","Part URL","Vendor"
"D1","1","Red LED","","","","LED_THT:LED_D3.0mm","~","","",""
"J1,J3,J6,J8","4","Conn_02x03_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","~","200-SSW10301TD","https://mou.sr/3GIDVEr","Mouser"
"J4","1","Conn_01x02","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","200-SSW10201TS","https://mou.sr/4lBvdHe","Mouser"
"J5","1","Conn_01x06","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","200-SSW10601TS","https://mou.sr/4lnf48h","Mouser"
"JP_DEFAULT_ENV_TO_VCA1","1","Jumper_2_Open","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~","200-HTSW10208TSRA","https://mou.sr/4nM6IZz","Mouser"
"J_ENV_OUT1,J_GATE1,J_VCA_CV1,J_VCA_IN1,J_VCA_OUT1","5","PJ398SM","","","","Shmoergh_Custom_Footprints:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","Thonk"
"Q1","1","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","637-2N3904","https://mou.sr/4febysZ","Mouser"
"Q2","1","2N3906","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","637-2N3906","https://mou.sr/4a8lju1","Mouser"
"R1","1","100k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FRF52100K","https://mou.sr/4hEwI4G","Mouser"
"R2","1","47k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FRF52-47K","https://mou.sr/3MWzgkZ","Mouser"
"R3","1","4.7k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR25SFTF52-4K7","https://mou.sr/4q072Ei","Mouser"
"RV_ATTACK1,RV_DECAY1,RV_RELEASE1","3","A200k-1M","","","","Shmoergh_Custom_Footprints:Potentiometer_Bourns_Single-PTV09A","~","652-PTV09A4025FA105 ","https://mou.sr/3VpxrOs","Mouser"
"RV_SUSTAIN1","1","10k","","","","PTA4543-2015DPB103:TRIM_PTA4543-2015DPB103","~","652-PTA4432015CPB103 ","https://mou.sr/45PU5oa","Mouser"
