Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,100nF,
D1,LED_D3.0mm,1,Red LED,
"J1, J3, J6, J8",PinSocket_2x03_P2.54mm_Vertical,4,Conn_02x03_Odd_Even,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
JP_DEFAULT_ENV_TO_VCA1,PinHeader_1x02_P2.54mm_Horizontal,1,Jumper_2_Open,
"J_ENV_OUT1, J_GATE1, J_VCA_CV1, J_VCA_IN1, J_VCA_OUT1",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,5,PJ398SM,
Q1,TO-92_Inline_Wide,1,2N3904,
Q2,TO-92_Inline_Wide,1,2N3906,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,47k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4.7k,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,200k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
"RV_ATTACK1, RV_DECAY1, RV_RELEASE1",Potentiometer_Bourns_Single-PTV09A,3,A200k-1M,
RV_SUSTAIN1,TRIM_PTA4543-2015DPB103,1,10k,
