Designator,Mid X,Mid Y,Rotation,Layer
D1,173.0,-47.0,0.0,top
J1,148.96,-102.27,90.0,bottom
J3,156.77,-94.04,0.0,bottom
J4,126.388,-117.64,180.0,top
J5,149.35,-49.5,270.0,bottom
J6,136.04,-48.23,270.0,bottom
J8,129.77,-96.04,0.0,bottom
JP_DEFAULT_ENV_TO_VCA1,171.25,-127.77,0.0,top
J_ENV_OUT1,153.0,-114.295,0.0,top
J_GATE1,137.0,-114.295,0.0,top
J_VCA_CV1,153.0,-138.295,0.0,top
J_VCA_IN1,137.0,-138.295,0.0,top
J_VCA_OUT1,169.0,-138.295,0.0,top
Q1,178.25,-78.544,270.0,top
Q2,162.481,-122.507,180.0,top
R1,145.209,-134.043,90.0,top
R2,180.007,-88.323,90.0,top
R3,176.705,-88.196,90.0,top
R4,144.574,-147.632,180.0,top
R5,179.753,-118.803,90.0,top
RV_ATTACK1,137.0,-62.1,0.0,top
RV_DECAY1,153.0,-62.1,0.0,top
RV_RELEASE1,137.0,-86.1,0.0,top
RV_SUSTAIN1,169.0,-79.1,90.0,top
RV_VCA_AMP1,172.1,-115.0,90.0,top
