Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C2, C201, C202, C3, C4",0603,10,100n,C14663
C14,CP_Elec_5x5.4,1,10u,C4747971
C15,0603,1,100p,C14858
"C16, C17",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,100n (foil),
C18,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,1n (foil),
C203,C_Rect_L7.0mm_W2.5mm_P5.00mm,1,3.3n (foil),
"C8, C9",CP_Elec_6.3x7.7,2,100u,C2836437
"D1, D2",D_SOD-323,2,1N5817,C5190152
"D15, D16, D3, D4",D_SOD-123,4,1N4148,C81598
D_LIM_N1,LED_D3.0mm,1,Red LED,
D_LIM_P1,LED_D5.0mm,1,Red LED,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
"J2, J5",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J4,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J6,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J7,IDC-Header_2x05_P2.54mm_Horizontal,1,Conn_02x05_Odd_Even,
Q2,TO-92_Inline_Wide,1,2N3819,
R1,0603,1,33k,C4216
"R10, R18, R211, R29",0603,4,10k,C25804
"R11, R20",0603,2,4.7k,C23162
R12,0603,1,150,C22808
"R13, R17, R208, R212, R25",0603,5,1k,C21190
"R14, R15",0603,2,100,C22775
"R16, R209",0603,2,1M,C22935
"R19, R205, R21, R22, R23",0603,5,100k,C25803
R201,0603,1,5.1M,C13320
R202,0603,1,200k,C25811
R203,0603,1,15k,C22809
R204,0603,1,470k,C23178
R206,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220,
R207,0603,1,12k,C22790
R210,0603,1,2k,C22975
R24,0603,1,22k,C31850
RV_LINE_OUT_LVL1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,10k,
"U1, U2, U201, U5",SOIC-8_3.9x4.9mm_P1.27mm,4,TL072,C6961
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,NE5532,C7426
