Designator,Mid X,Mid Y,Rotation,Layer
C1,145.716,-74.9885,270.0,top
C10,152.689,-92.0692,90.0,top
C11,160.195,-98.991,180.0,top
C12,141.894,-92.1832,90.0,top
C13,149.273,-98.991,180.0,top
C14,160.322,-103.055,0.0,top
C15,157.642,-90.5322,90.0,top
C16,139.239,-76.5125,0.0,top
C17,131.151,-60.2565,180.0,top
C18,131.365,-80.1955,180.0,top
C2,138.35,-68.1305,0.0,top
C201,169.72,-52.763,0.0,top
C202,161.973,-60.002,0.0,top
C203,174.165,-54.795,270.0,top
C3,135.175,-71.7485,270.0,top
C4,128.571,-64.0015,270.0,top
C8,152.067,-83.624,90.0,top
C9,152.321,-65.971,90.0,top
D1,159.179,-83.497,0.0,top
D15,144.574,-85.148,270.0,top
D16,147.241,-102.928,90.0,top
D2,158.671,-66.479,0.0,top
D3,130.603,-75.1155,270.0,top
D4,138.604,-60.1295,0.0,top
D_LIM_N1,162.481,-91.498,270.0,top
D_LIM_P1,152.0,-48.23,180.0,top
J2,178.73,-54.96,180.0,top
J3,129.7862,-53.906,90.0,top
J4,131.19,-93.77,270.0,top
J5,164.04,-47.23,90.0,top
J6,173.58,-96.73,90.0,top
J7,158.8945,-75.08,0.0,top
Q2,139.493,-63.5585,180.0,top
R1,132.762,-76.0045,90.0,top
R10,147.368,-74.988,90.0,top
R11,155.991,-90.5322,270.0,top
R12,154.34,-90.5322,270.0,top
R13,156.893,-87.815,0.0,top
R14,141.64,-101.3272,90.0,top
R15,143.291,-101.3272,90.0,top
R16,145.97,-67.8765,270.0,top
R17,144.065,-76.5125,270.0,top
R18,133.016,-63.1775,0.0,top
R19,131.366,-97.9496,0.0,top
R20,129.9436,-88.9072,270.0,top
R201,161.084,-57.462,90.0,top
R202,161.084,-54.414,90.0,top
R203,159.433,-54.414,270.0,top
R204,170.0248,-45.905,0.0,top
R205,159.433,-57.525,270.0,top
R206,143.05,-50.604,180.0,top
R207,157.782,-54.414,270.0,top
R208,158.8488,-49.334,90.0,top
R209,171.181,-56.827,0.0,top
R21,128.571,-75.9415,270.0,top
R210,172.133,-49.334,180.0,top
R211,172.133,-47.683,0.0,top
R212,158.8488,-46.0828,90.0,top
R22,134.413,-76.0045,90.0,top
R23,128.571,-72.7025,270.0,top
R24,170.228,-100.769,0.0,top
R25,165.529,-96.959,270.0,top
R29,155.369,-102.547,270.0,top
RV_LINE_OUT_LVL1,171.331,-105.488,90.0,top
U1,142.414,-71.1785,180.0,top
U2,131.873,-67.8765,180.0,top
U201,165.783,-56.192,270.0,top
U4,145.196,-95.9932,0.0,top
U5,155.991,-95.9412,0.0,top
