Designator,Footprint,Quantity,Value,LCSC Part #
D1,D_SMA,1,SMAJ5.0CA,
"D_DRIVE1, D_LFO1",LED_D3.0mm,2,Red LED,
D_DRIVE_FROM_CORE1,PinSocket_1x02_P2.54mm_Vertical,1,Red LED,
"J1, J7",PinSocket_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,
J2,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
"J3, J8",TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,2,Conn_01x01_Pin,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
J6,PinSocket_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"J_CRUSH_IN1, J_CRUSH_OUT1, J_CRUSH_TRIG1, J_LFO_SQR1, J_LFO_TRI1, J_MAIN_IN1",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,6,PJ398SM,
J_MAIN_OUT1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,PJ366ST,
Q1,TO-92_Inline_Wide,1,2N3904,
Q2,TO-92_Inline_Wide,1,2N3906,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,47k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4.7k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100k,
RV_CRUSH1,Potentiometer_Bourns_Single-PTV09A,1,A1M,
RV_DRIVE1,Potentiometer_Bourns_Single-PTV09A,1,100k,
RV_LFO_AMOUNT1,Potentiometer_Bourns_Dual-PTV112-4,1,A20k,
RV_LFO_RATE1,Potentiometer_Bourns_Single-PTV09A,1,A500k-1M,
RV_MAIN_VOLUME1,Potentiometer_Bourns_Single-PTV09A,1,A10k,
