Designator,Mid X,Mid Y,Rotation,Layer
C1,170.925,-147.251,0.0,top
C2,157.528,-151.823,0.0,top
C3,178.037,-124.01,0.0,top
C4,166.418,-126.169,270.0,top
D1,176.324,-137.599,90.0,top
D2,178.102,-143.949,180.0,top
D_DRIVE1,173.0,-47.0,0.0,top
D_DRIVE_FROM_CORE1,152.0,-48.23,180.0,bottom
D_LFO1,157.0,-47.0,180.0,top
H1,127.3,-47.3,0.0,top
H2,178.7,-47.3,0.0,top
H3,178.7,-150.7,0.0,top
H4,127.3,-150.7,0.0,top
H5,127.3,-105.7,0.0,top
H6,178.7,-105.7,0.0,top
J1,178.73,-54.96,180.0,bottom
J2,131.19,-93.77,90.0,bottom
J3,156.893,-69.019,0.0,top
J4,128.42,-59.728,180.0,top
J5,139.85,-46.0,90.0,top
J6,173.58,-96.73,270.0,bottom
J7,164.04,-47.23,270.0,bottom
J8,150.543,-69.019,0.0,top
J_CRUSH_IN1,137.0,-114.295,0.0,top
J_CRUSH_OUT1,137.0,-138.295,0.0,top
J_CRUSH_TRIG1,137.0,-82.295,0.0,top
J_LFO_SQR1,153.0,-114.295,0.0,top
J_LFO_TRI1,153.0,-138.295,0.0,top
J_MAIN_IN1,169.0,-114.295,0.0,top
J_MAIN_OUT1,169.0,-138.295,0.0,top
Q1,153.845,-101.277,0.0,top
Q2,179.351,-63.304,90.0,top
R1,152.448,-96.959,180.0,top
R14,170.951,-149.791,180.0,top
R15,170.925,-152.331,180.0,top
R2,159.941,-101.277,270.0,top
R3,153.337,-105.087,180.0,top
R4,178.037,-126.55,180.0,top
R5,178.037,-129.09,180.0,top
RV_CRUSH1,137.0,-62.1,0.0,top
RV_DRIVE1,169.0,-86.1,0.0,top
RV_LFO_AMOUNT1,153.0,-88.1,0.0,top
RV_LFO_RATE1,153.0,-62.1,0.0,top
RV_MAIN_VOLUME1,169.0,-62.1,0.0,top
U1,164.448,-149.918,270.0,top
U2,171.625,-126.169,270.0,top
