"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Part no.","Part URL","Vendor"
"D1,D2,D3,D4,D5,D6","6","LED","","","","LED_THT:LED_D3.0mm","~","","",""
"J1,J5,J8","3","Conn_02x03_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","~","200-SSW10301TD","https://mou.sr/3GIDVEr","Mouser"
"J2,J3","2","Conn_01x02","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","200-SSW10201TS","https://mou.sr/4lBvdHe","Mouser"
"J4,J6","2","Conn_02x02_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical","~","200-SSW10206TD","https://mou.sr/4eSbYqI","Mouser"
"J7","1","Conn_02x05_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical","~","200-SSW10501TD","https://mou.sr/4lVCZM9","Mouser"
"J_AUDIO_CV_IN1,J_AUDIO_CV_IN2,J_AUDIO_CV_OUT1,J_AUDIO_CV_OUT2,J_PULSE_IN1,J_PULSE_OUT1","6","PJ398SM","","","","Shmoergh_Custom_Footprints:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","Thonk"
"J_MIDI1","1","PJ398SM-STEREO","","","","Shmoergh_Custom_Footprints:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","Thonk"
"Q1,Q2,Q3,Q4,Q5,Q6","6","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","637-2N3904","https://mou.sr/4febysZ","Mouser"
"R1","1","1k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FRE52-1K","https://mou.sr/4afrY5O","Mouser"
"R3,R4,R7,R8,R11,R12","6","47k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR-25FRF52-47K","https://mou.sr/3MWzgkZ","Mouser"
"R5,R6,R9,R10,R13,R14","6","4.7k","","","","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","603-MFR25SFTF52-4K7","https://mou.sr/4q072Ei","Mouser"
"RV_POT1,RV_POT2,RV_POT3","3","100k","","","","Shmoergh_Custom_Footprints:Potentiometer_Bourns_Single-PTV09A","~","652-PTV09A4025FB104","https://mou.sr/4694GMU","Mouser"
"U_BTN1","1","SW_SPST_Push_LED","","","","Shmoergh_Custom_Footprints:SPST_Circular_Pushbutton_LED","","611-D6RLRDF1LFS","https://mou.sr/41W2K7k","Mouser"
"U_BTN2","1","SW_SPST_Push","","","","Shmoergh_Custom_Footprints:SPST_Circular_Pushbutton_LED","","611-D6RLRDF1LFS","https://mou.sr/41W2K7k","Mouser"
