Designator,Mid X,Mid Y,Rotation,Layer
H1,109.2,-62.7,0.0,top
H2,109.2,-87.3,0.0,top
H3,249.8,-62.7,0.0,top
H4,249.8,-87.3,0.0,top
JP1,105.085,-69.525,180.0,bottom
JP10,241.991,-79.939,0.0,top
JP11,172.141,-82.479,0.0,top
JP12,108.021,-82.987,180.0,bottom
JP13,117.785,-86.924,180.0,bottom
JP2,102.545,-62.794,0.0,top
JP3,179.634,-65.588,0.0,top
JP4,103.688,-73.335,0.0,top
JP5,168.219,-62.921,0.0,top
JP6,159.441,-69.906,180.0,bottom
JP7,228.91,-62.794,0.0,top
JP8,231.704,-85.908,180.0,bottom
JP9,223.576,-89.464,180.0,bottom
J_ENV_VCA1,79.85,-88.23,90.0,top
J_ENV_VCA2,143.85,-88.23,90.0,top
J_FILTER1,261.35,-64.27,270.0,bottom
J_MIXER1,197.35,-64.27,270.0,bottom
J_UTILS_OUT1,198.35,-84.73,90.0,top
J_VCO1,70.62,-64.27,270.0,bottom
J_VCO2,134.62,-64.27,270.0,bottom
