Designator,Mid X,Mid Y,Rotation,Layer
J1,134.31,-100.0,270.0,bottom
J2,148.08,-96.73,270.0,bottom
J3,166.54,-96.73,270.0,bottom
J4,178.635,-105.361,0.0,top
J5,157.77,-149.27,0.0,bottom
J6,138.85,-151.0,270.0,bottom
JP1,170.99,-126.042,0.0,top
JP2,149.4,-124.899,0.0,top
JP3,140.129,-127.439,180.0,top
J_CV1,137.0,-138.295,0.0,top
J_EXTRA_OUT1,153.0,-138.295,0.0,top
J_FM1,153.0,-114.295,0.0,top
J_OUT1,169.0,-138.295,0.0,top
J_PWM1,169.0,-114.295,0.0,top
J_SYNC1,137.0,-114.295,0.0,top
R1,135.049,-103.817,180.0,top
R2,136.573,-72.194,90.0,top
R3,129.461,-72.194,90.0,top
R4,157.147,-98.102,90.0,top
R5,160.322,-98.102,270.0,top
R6,133.017,-72.194,90.0,top
R7,168.958,-75.496,180.0,top
R8,174.038,-72.067,180.0,top
RV_FINE1,153.0,-86.1,0.0,top
RV_PWM1,169.0,-86.1,0.0,top
RV_TUNE1,137.0,-86.1,0.0,top
U1,141.0,-55.0,270.0,top
