Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,C,
J1,PinSocket_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J2,PinSocket_2x02_P2.54mm_Vertical,1,Conn_02x02_Counter_Clockwise,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
J6,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
"J_CUTOFF1, J_CUTOFF2, J_HP1, J_LP1, J_OUT1",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,5,PJ398SM,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,6.8k,
"R10, R11, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,10k-1M,
"R12, R13, R14, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,7,100k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,3.3k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220k,
"RV_CUTOFF1, RV_CUTOFF2, RV_MAIN_CUTOFF1, RV_RESO1",Potentiometer_Bourns_Single-PTV09A,4,100k,
RV_CUTOFF_BIAS1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,10k,
U1,DIP-8_W7.62mm_LongPads,1,TL072,
