Designator,Mid X,Mid Y,Rotation,Layer
D1,173.0,-47.0,270.0,top
J1,148.96,-102.27,90.0,bottom
J3,156.77,-94.04,0.0,bottom
J4,178.725,-82.882,0.0,top
J5,149.35,-49.5,270.0,bottom
J6,136.04,-48.23,270.0,bottom
J8,129.77,-96.04,0.0,bottom
JP_DEFAULT_ENV_TO_VCA1,171.117,-127.058,0.0,top
J_ENV_OUT1,153.0,-114.295,0.0,top
J_GATE1,137.0,-114.295,0.0,top
J_VCA_CV1,153.0,-138.295,0.0,top
J_VCA_IN1,137.0,-138.295,0.0,top
J_VCA_OUT1,169.0,-138.295,0.0,top
RV_ATTACK1,137.0,-62.1,0.0,top
RV_DECAY1,153.0,-62.1,0.0,top
RV_RELEASE1,137.0,-86.1,0.0,top
RV_SUSTAIN1,169.0,-80.1,90.0,top
