Designator,Mid X,Mid Y,Rotation,Layer
C1,140.002,-89.9486,0.0,top
C10,134.541,-130.091,270.0,top
C11,147.368,-130.168,270.0,top
C12,175.879,-107.3476,0.0,top
C13,168.2082,-114.104,0.0,top
C14,159.484,-107.4492,0.0,top
C15,151.7624,-114.1548,0.0,top
C16,173.403,-98.737,180.0,top
C17,131.366,-102.306,90.0,top
C18,131.366,-105.468,270.0,top
C2,144.1168,-93.3014,90.0,top
C3,134.4648,-94.9778,270.0,top
C4,159.814,-150.299,180.0,top
C5,176.832,-120.708,180.0,top
C6,135.557,-139.375,270.0,top
C7,128.953,-131.628,270.0,top
C8,149.019,-139.439,270.0,top
C9,142.288,-131.692,270.0,top
D1,131.874,-88.704,270.0,top
D2,158.925,-144.457,0.0,top
D3,159.052,-128.074,0.0,top
D4,150.7185,-47.236,180.0,top
D5,151.559,-87.815,90.0,top
D6,146.479,-87.688,90.0,top
J1,167.54,-48.23,90.0,top
J10,126.0,-58.77,0.0,top
J11,176.832,-55.811,0.0,top
J13,170.228,-75.242,0.0,top
J2,140.23,-47.73,180.0,top
J3,152.73,-94.73,180.0,top
J4,170.54,-150.73,90.0,top
J5,126.54,-120.83,0.0,top
J7,163.42,-94.77,270.0,top
J8,138.54,-150.73,90.0,top
J9,134.795,-89.344,180.0,top
J_DEV1,132.509,-60.51,270.0,bottom
J_USB_C_EXTENSION1,182.259,-73.847,90.0,top
Q1,141.145,-56.319,180.0,top
Q3,130.604,-54.668,0.0,top
Q6,146.352,-49.842,270.0,top
Q7,147.175,-55.9865,90.0,top
R1,138.986,-52.763,270.0,top
R10,135.303,-127.818,0.0,top
R11,148.257,-127.628,0.0,top
R12,136.192,-130.104,270.0,top
R13,149.019,-130.168,270.0,top
R14,130.35,-141.153,90.0,top
R15,143.812,-140.963,90.0,top
R16,128.572,-141.153,90.0,top
R17,142.161,-140.963,90.0,top
R18,146.225,-141.979,0.0,top
R19,133.017,-142.044,0.0,top
R2,154.226,-60.637,180.0,top
R20,133.017,-140.264,0.0,top
R21,146.225,-140.328,0.0,top
R22,135.557,-142.677,270.0,top
R23,149.019,-142.741,270.0,top
R24,170.609,-106.484,0.0,top
R25,164.132,-98.61,0.0,top
R26,154.988,-106.357,270.0,top
R27,153.21,-106.23,270.0,top
R28,167.3446,-109.3288,90.0,top
R29,150.9496,-109.4812,90.0,top
R3,126.921,-54.668,180.0,top
R30,177.3522,-112.4276,180.0,top
R31,161.0588,-112.58,180.0,top
R32,177.403,-110.802,180.0,top
R33,161.0588,-111.0052,180.0,top
R34,177.403,-109.1256,0.0,top
R35,161.0588,-109.3796,0.0,top
R36,175.308,-75.496,180.0,top
R37,173.657,-71.686,180.0,top
R4,126.921,-53.017,0.0,top
R5,147.241,-53.017,0.0,top
R6,142.288,-51.874,0.0,top
R7,161.973,-53.144,90.0,top
R8,132.89,-130.041,270.0,top
R9,145.844,-128.453,270.0,top
SW1,179.358,-55.74,270.0,top
U1,139.24,-102.8856,180.0,top
U10,177.213,-92.768,90.0,top
U2,154.9915,-54.287,270.0,top
U3,155.369,-73.845,270.0,bottom
U4,132.255,-135.438,180.0,top
U5,145.59,-135.502,180.0,top
U6,127.81,-104.592,180.0,top
U7,141.399,-121.089,0.0,top
U8,172.0182,-110.802,270.0,top
U9,155.6232,-110.802,270.0,top
