Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_4x5.4,1,10u,C46550410
"C10, C11",0603,2,22p,C1653
"C12, C13, C14, C15, C16, C17, C3, C6, C7, C8, C9",0603,11,100n,C14663
C18,0603,1,10u,C19702
C2,0603,1,330n,C188679
"C4, C5",CP_Elec_6.3x7.7,2,100u,C2836437
"D1, D2, D3",D_SOD-323,3,1N5817,C5190152
D4,SOT-23,1,BAT54,C22466368
"D5, D6",SOT-23,2,BAT54S,C7420333
"J1, J4, J8",PinHeader_2x03_P2.54mm_Vertical,3,Conn_02x03_Odd_Even,
"J10, J5, J9, J_DEV1",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02,
J11,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
J13,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"J2, J3",PinHeader_2x02_P2.54mm_Vertical,2,Conn_02x02_Odd_Even,
J6,IDC-Header_2x05_P2.54mm_Horizontal,1,Conn_02x05_Odd_Even,
J7,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J_USB_C_EXTENSION1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"Q1, Q3, Q6, Q7",SOT-23,4,MMBT3904,C20526
"R1, R14, R15, R16, R17, R18, R19, R20, R21, R24, R26, R30, R31, R32, R33",0603,15,100k,C25803
"R10, R11",0603,2,68k,C23231
"R12, R13, R22, R23, R34, R35",0603,6,1k,C21190
R2,0603,1,3.3k,C22978
"R25, R27",0603,2,120k,C25808
"R28, R29",0603,2,33k,C4216
"R3, R7",0603,2,10k,C25804
"R36, R37",0603,2,5.1k,C23186
R4,0603,1,7.5k,C23234
R5,0603,1,2.2k,C4190
R6,0603,1,120,C22787
"R8, R9",0603,2,47k,C25819
SW1,SW_Tactile_SKHH_Angled,1,SW_SPST,
U1,TO-220-3_Horizontal_TabDown,1,LM7805_TO220,
U10,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC4051,C9386
U2,SOP-8_6.605x9.655mm_P2.54mm,1,6N137,C92651
U3,RaspberryPi_Pico_Common_Unspecified,1,Pico,
"U4, U5, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,4,TL072,C6961
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP4822,C623653
U7,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC4053B,C5647
