Designator,Mid X,Mid Y,Rotation,Layer
D1,133.0,-103.0,0.0,top
D2,141.0,-103.0,0.0,top
D3,149.0,-103.0,0.0,top
D4,157.0,-103.0,0.0,top
D5,165.0,-103.0,0.0,top
D6,173.0,-103.0,0.0,top
J1,170.54,-150.73,270.0,bottom
J2,152.976,-150.782,90.0,top
J3,126.0,-58.77,0.0,bottom
J4,152.73,-94.73,180.0,bottom
J5,167.54,-48.23,270.0,bottom
J6,140.23,-47.73,180.0,bottom
J7,163.42,-94.77,90.0,bottom
J8,138.54,-150.73,270.0,bottom
J_AUDIO_CV_IN1,137.0,-115.705,180.0,top
J_AUDIO_CV_IN2,153.0,-115.705,180.0,top
J_AUDIO_CV_OUT1,137.0,-138.295,0.0,top
J_AUDIO_CV_OUT2,153.0,-138.295,0.0,top
J_MIDI1,169.0,-82.295,0.0,top
J_PULSE_IN1,169.0,-115.705,180.0,top
J_PULSE_OUT1,169.0,-138.295,0.0,top
Q1,129.44,-109.151,90.0,top
Q2,129.863,-96.959,270.0,top
Q3,129.101,-89.593,270.0,top
Q4,178.356,-83.3192,270.0,top
Q5,178.4068,-92.768,270.0,top
Q6,178.5084,-102.5216,270.0,top
R1,137.081,-90.863,180.0,top
R10,167.434,-106.7888,180.0,top
R11,157.9852,-45.6256,180.0,top
R12,179.9816,-57.3604,270.0,top
R13,152.956,-106.8396,0.0,top
R14,175.9176,-111.2084,270.0,top
R2,145.082,-86.799,90.0,top
R3,157.9852,-48.7752,180.0,top
R4,176.7304,-67.5712,270.0,top
R5,136.954,-106.8396,0.0,top
R6,160.9824,-105.6204,270.0,top
R7,160.8808,-62.4912,270.0,top
R8,176.7304,-57.3604,270.0,top
R9,145.0312,-105.6204,270.0,top
RV_POT1,137.0,-61.896,0.0,top
RV_POT2,153.0,-61.896,0.0,top
RV_POT3,169.0,-62.1,0.0,top
U_BTN1,137.0,-83.0,0.0,top
U_BTN2,153.0,-83.0,0.0,top
