Designator,Mid X,Mid Y,Rotation,Layer
C1,133.019,-94.6085,270.0,top
C10,133.146,-85.2105,90.0,top
C11,143.256,-83.8265,270.0,top
C13,136.652,-119.761,90.0,top
C14,129.667,-113.093,270.0,top
C15,142.2,-145.097,270.0,top
C16,134.747,-137.35,270.0,top
C17,149.671,-122.618,270.0,top
C18,142.559,-114.744,270.0,top
C2,126.161,-86.7345,90.0,top
C20,132.969,-122.618,90.0,top
C21,154.847,-85.77072,270.0,top
C22,147.989,-78.02372,270.0,top
C23,149.098,-132.207,270.0,top
C24,165.227,-105.664,180.0,top
C26,153.543,-148.082,270.0,top
C27,146.685,-140.462,270.0,top
C28,148.971,-137.795,180.0,top
C3,145.034,-82.2895,270.0,top
C4,138.176,-74.4155,270.0,top
C5,169.325,-85.89072,270.0,top
C6,162.721,-78.27072,270.0,top
C8,165.162778,-87.54172,270.0,top
D1,141.605,-86.7345,180.0,top
D2,135.382,-132.953,180.0,top
D3,129.921,-132.905,0.0,top
D6,158.877,-128.016,0.0,top
D7,158.75,-112.395,0.0,top
Q1,158.403,-67.86372,90.0,top
Q2,162.848,-74.46772,180.0,top
Q4,136.0955,-70.5445,0.0,top
Q5,133.731,-81.1465,0.0,top
Q6,155.5265,-133.985,180.0,top
Q7,149.146,-151.95,180.0,top
R1,129.794,-54.356,180.0,top
R10,159.038,-71.16572,90.0,top
R11,157.26,-71.16572,270.0,top
R12,154.974,-71.16572,90.0,top
R13,137.922,-83.8135,90.0,top
R14,139.7,-83.8135,90.0,top
R15,141.478,-83.8135,270.0,top
R16,135.636,-73.6535,0.0,top
R17,130.937,-80.2575,90.0,top
R18,129.159,-80.2575,270.0,top
R19,131.368,-85.2105,90.0,top
R2,166.658,-76.66972,90.0,top
R20,130.225,-96.0685,270.0,top
R21,145.034,-85.9725,90.0,top
R22,146.939,-84.3215,90.0,top
R23,146.75,-113.157,90.0,top
R24,150.179,-113.093,270.0,top
R25,132.842,-137.35,270.0,top
R26,148.401,-113.093,90.0,top
R27,136.906,-135.826,90.0,top
R28,138.811,-135.826,90.0,top
R29,145.734,-124.142,270.0,top
R30,147.766,-124.142,270.0,top
R31,140.843,-135.763,90.0,top
R32,131.3942,-111.5436,90.0,top
R33,138.0998,-111.5944,90.0,top
R34,134.4422,-111.5436,90.0,top
R35,136.271,-111.569,90.0,top
R36,131.191,-122.618,270.0,top
R37,133.858,-144.526,180.0,top
R38,134.747,-122.618,270.0,top
R39,152.053,-76.49972,270.0,top
R4,163.384778,-87.54172,90.0,top
R40,155.482,-78.15072,270.0,top
R41,157.226,-139.954,180.0,top
R42,151.257,-138.874,270.0,top
R43,152.908,-138.875,270.0,top
R44,139.557,-146.743,180.0,top
R45,163.894,-144.526,0.0,top
R46,168.656,-139.319,90.0,top
R47,167.196,-144.399,0.0,top
R48,167.259,-146.05,180.0,top
R5,161.606778,-87.54172,270.0,top
R50,151.384,-122.682,90.0,top
R52,145.542,-137.414,90.0,top
R53,137.096,-122.174,0.0,top
R54,154.559,-138.938,270.0,top
R55,151.892,-149.86,90.0,top
R56,148.892,-148.902,0.0,top
R57,148.971,-139.446,0.0,top
R9,167.674,-87.54872,90.0,top
U1,166.023,-82.06772,180.0,top
U2,141.605,-78.3525,180.0,top
U3,129.59,-90.6715,180.0,top
U4,146.115,-118.681,180.0,top
U5,138.176,-141.287,180.0,top
U6,133.223,-117.03,180.0,top
U7,151.418,-81.89572,180.0,top
U8,150.114,-144.272,180.0,top
U9,163.892,-138.303,270.0,top
