Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C16, C2, C3, C4, C5, C6, C8, C9",0603,10,100n,C14663
"C10, C12, C14",C_Rect_L7.0mm_W2.5mm_P5.00mm,3,1n (Foil),
C11,CP_Elec_4x5.7,1,2.2u,C249889
"C13, C17, C21, C22",CP_Elec_6.3x7.7,4,100u,C2836437
C18,C_Rect_L7.0mm_W3.5mm_P5.00mm,1,470n (foil),
C19,C_Rect_L7.0mm_W4.5mm_P5.00mm,1,1u (Foil),
C20,CP_Elec_4x5.4,1,10u,C3343
C7,0603,1,10n,C57112
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,10,1N4148,C81598
"D11, D12",D_SOD-323,2,1N5817,C5190152
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J2,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Counter_Clockwise,
J3,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Counter_Clockwise,
J6,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J8,IDC-Header_2x05_P2.54mm_Horizontal,1,Conn_02x05_Odd_Even,
Q1,SOT-363_SC-70-6,1,BC847BS,C5380687
R1,0603,1,20k,C4184
R10,0603,1,200k,C25811
R11,0603,1,180k,C3016400
R12,0603,1,2.7k,C13167
"R13, R22",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,2k,
R14,0603,1,2.2k,C4190
R15,0603,1,33k,C4216
R16,0603,1,100,C22775
R17,0603,1,390,C23151
"R18, R19, R23, R32",0603,4,1k,C21190
R20,0603,1,3.9k,C23018
R21,0603,1,200,C8218
"R24, R27",0603,2,1M,C22935
R25,0603,1,22k,C31850
"R26, R9",0603,2,47k,C25819
R28,0603,1,220k,C22961
"R29, R4, R6, R8",0603,4,10k,C25804
"R30, R31",0603,2,100k,C25803
R7,0603,1,56k,C23206
RV_BALANCE1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,1k,
RV_MAX_RESO1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,100k,
"U1, U2, U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,4,TL072,C6961
